state,x,y
Andhra Pradesh,-108,-190
Arunachal Pradesh,317,208
Assam,279,152
Bihar,87,124
Chhattisgarh,-10,10
Goa,-240,-180
Gujarat,-305,45
Haryana,-172,226
Himachal Pradesh,-140,317
Jharkhand,60,67
Karnataka,-192,-184
Kerala,-173,-354
Madhya Pradesh,-132,50
Maharashtra,-203,-61
Manipur,317,100
Meghalaya,230,122
Mizoram,284,54
Nagaland,327,145
Odisha,55,-28
Punjab,-209,279
Rajasthan,-247,159
Sikkim,152,184
Tamil Nadu,-127,-310
Telangana,-100,-109
Tripura,241,74
Uttar Pradesh,-72,163
Uttarakhand,-96,264
West Bengal,141,46
Andaman and Nicobar,294,-253
Chandigarh,-157,274
Daman and Diu,-322,-20
Delhi,-149,212
Jammu and Kashmir,-212,372
Lakshadweep,-278,-320
Ladakh,-158,406
Puducherry,-78,-282
